time,temp,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,rain_3h,clouds_all,weather_id,generation biomass,generation other renewable,generation solar,generation wind onshore
00,270.475,270.475,270.475,1001,77,1,0.0,0.0,0,800,447.0,73.0,49.0,6378.0
01,270.475,270.475,270.475,1001,77,1,0.0,0.0,0,800,449.0,71.0,50.0,5890.0
02,269.686,269.686,269.686,1002,78,0,0.0,0.0,0,800,448.0,73.0,50.0,5461.0
03,269.686,269.686,269.686,1002,78,0,0.0,0.0,0,800,438.0,75.0,50.0,5238.0
04,269.686,269.686,269.686,1002,78,0,0.0,0.0,0,800,428.0,74.0,42.0,4935.0
05,270.29200000000003,270.29200000000003,270.29200000000003,1004,71,2,0.0,0.0,0,800,410.0,74.0,34.0,4618.0
06,270.29200000000003,270.29200000000003,270.29200000000003,1004,71,2,0.0,0.0,0,800,401.0,74.0,34.0,4397.0
07,270.29200000000003,270.29200000000003,270.29200000000003,1004,71,2,0.0,0.0,0,800,408.0,72.0,35.0,3992.0
08,274.601,274.601,274.601,1005,71,1,0.0,0.0,0,800,413.0,73.0,54.0,3629.0
09,274.601,274.601,274.601,1005,71,1,0.0,0.0,0,800,419.0,74.0,743.0,3073.0
10,274.601,274.601,274.601,1005,71,1,0.0,0.0,0,800,422.0,72.0,2019.0,2683.0
11,284.824,284.824,284.824,1006,55,1,0.0,0.0,0,800,421.0,73.0,3197.0,2771.0
12,284.824,284.824,284.824,1006,55,1,0.0,0.0,0,800,428.0,75.0,3885.0,2906.0
13,284.824,284.824,284.824,1006,55,1,0.0,0.0,0,800,425.0,74.0,4007.0,2923.0
14,285.05065625,285.05065625,285.05065625,1015,52,1,0.0,0.0,0,800,423.0,76.0,3973.0,2945.0
15,285.27734375,285.27734375,285.27734375,1025,50,1,0.0,0.0,0,800,421.0,76.0,3818.0,2709.0
16,281.024,281.024,281.024,1021,67,1,0.0,0.0,0,800,422.0,75.0,3088.0,2552.0
17,282.744,282.744,282.744,1035,58,1,0.0,0.0,0,800,426.0,75.0,1467.0,2699.0
18,279.98400000000004,279.98400000000004,279.98400000000004,1035,68,1,0.0,0.0,0,800,427.0,74.0,404.0,2764.0
19,277.8761875,277.8761875,277.8761875,1017,69,1,0.0,0.0,0,800,442.0,76.0,139.0,2913.0
20,275.0075,275.0075,275.0075,1021,81,1,0.0,0.0,0,800,445.0,74.0,100.0,3118.0
21,272.791,272.791,272.791,1006,84,1,0.0,0.0,0,800,443.0,74.0,75.0,3373.0
22,272.791,272.791,272.791,1006,84,1,0.0,0.0,0,800,440.0,74.0,74.0,3508.0
23,271.22900000000004,271.22900000000004,271.22900000000004,1006,82,1,0.0,0.0,0,800,438.0,74.0,56.0,3527.0
00,271.22900000000004,271.22900000000004,271.22900000000004,1006,82,1,0.0,0.0,0,800,368.0,62.0,54.0,13232.0
